ID,name,energy,protein,carbs,sugar,calcium,potassium,sodium,fa_sat,fa_mono,fa_poly,cholest
221,"BABYFOOD,COOKIES",433,11.8,67.1,24.2,101,501,300,2.352,5.99,2.878,12
222,"BABYFOOD,TEETHING BISCUITS",392,10.7,76.4,12.65,263,323,285,1.206,1.702,0.998,7
223,ZWIEBACK,426,10.1,74.2,12.5,20,305,227,2.525,4.244,2.073,8
224,"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR",86,1.76,17.58,12.2,54,68,26,0.325,0.364,0.128,38
225,"BABYFOOD,DINNER,VEG&CHICK,JR",53,2.04,8.66,1.46,27,83,34,0.302,0.402,0.269,7
226,"BABYFOOD,DINNER,BF NOODLE,JR",57,2.5,7.3,1.45,8,46,26,0.766,0.838,0.094,8
227,"BABYFOOD,APPLS W/HAM,STR",62,2.6,10.9,7.98,4,120,9,0.25,0.36,0.111,8
228,"BABYFOOD,CARROTS&BF,STR",59,3.4,5.7,2.04,22,226,69,0.96,1.06,0.13,8
229,"BABYFOOD,TURKEY,RICE&VEG,TODD",60,3.8,7.5,1.12,11,107,183,0.5,0.555,0.309,7
230,"BABYFOOD,DINNER,APPLS&CHICK,STR",65,2.16,10.88,6.06,18,95,12,0.347,0.411,0.35,5
231,"BABYFOOD,DINNER,BROCCOLI & CHICK,JR",62,3.59,6.34,1.43,37,170,17,0.51,0.77,0.43,13
232,"BABYFOOD,DINNER,SWT POTATOES&CHICK,STR",74,2.51,11.04,2.65,30,200,22,0.572,0.98,0.48,11
233,"BABYFOOD,DINNER,POTATOES W/CHS&HAM,TODD",78,3.5,11.97,0.8,53,143,205,1.1,0.733,0.163,6
234,"BABYFOOD,CRL,BARLEY,PREP W/WHL MILK",84,3.73,9.94,5.1,162,151,43,1.76,0.802,0.309,10
235,"BABYFOOD,CRL,MXD,PREP W/WHL MILK",96,4.14,12.3,4.78,220,166,42,1.745,0.855,0.359,9
236,"BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK",86,3.82,10,5.9,153,178,48,1.808,0.859,0.342,10
237,"BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK",86,3.82,10,5.9,153,178,48,1.82,0.859,0.345,10
238,"BABYFOOD,CRL,RICE,PREP W/WHL MILK",85,3.45,10.31,4.87,168,151,42,1.793,0.846,0.333,10
239,"BABYFOOD,CRL,RICE,W/BANANAS,PREP W/WHL MILK",86,3.57,10.49,6.13,156,180,47,1.798,0.826,0.294,10
240,"INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,RTF",66,1.45,7.39,5,42,71,18,1.47,1.08,0.74,4
241,"INF FORMULA,NES,G START SUPR,W/ IRON,LIQ CONC,NOT RECON",127,2.79,14.2,9.7,81,137,34,2.97,2.06,1.42,2
242,"INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,PDR",509,11.3,57.32,39.3,343,553,138,11.66,8.5,5.88,32
243,"INF FORMULA, MEAD JOHNSON, ENFAMIL, W/IRON, RTF",63,1.38,7.2,7.18,51,71,18,1.469,1.33,0.67,1
244,"INF FORMULA,MEAD JOHNSON,ENFAMIL,W/ IRON,PDR",520,10.8,56.2,56,400,560,139,11.5,10.3,5.2,17
245,"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,RTF",63,1.38,7.18,7.18,51,71,18,1.479,1.291,0.689,1
246,"INF FORMULA,MEAD JOHNSON,ENFAMILLIPIL,W/IRN,PDR,W/ ARA & DHA",511,10.8,56.2,56,400,560,139,11.221,9.899,5.24,17
247,"INF FORMULA, MEAD JOHNSON, ENFAMIL, LO IRON, POWD, NOT RECON",511,10.8,56.2,56,400,560,139,11.5,10,5.3,17
248,"INF FORMU,MEAD JOHNS,ENFA,LIPIL,W/ IRO,LIQ CONC,W/ ARA & DHA",131,2.76,14.34,14,102,142,35,3.08,2.656,1.418,1
249,"INF FORMULA, MEAD JOHN, ENFAMIL LIPIL,W/ IRON,RTF,W/ AR & DH",64,1.38,7.1,7.1,51,71,18,1.453,1.255,0.67,1
250,"INF FORM,ME JOHNS,ENFAM,LIP,LO IRON,LIQ CONC,W/ ARA & DHA",131,2.76,14.24,14.24,102,142,39,3.078,2.659,1.419,2
251,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",483,16.5,54.8,54,440,590,260,19.186,0.683,1.609,4
252,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",88,3.33,8.57,7.4,88,118,52,3.953,0.143,0.333,1
253,"INF FORMULA. MEAD JOHNSON, PREGESTIMIL, W/IRON, PDR,NO RECON",519,14,52.8,51,580,550,240,16.8,4.6,6.5,2
254,"INF FOR,ME JOHN,ENFAM,LIPIL,LO IRON,READY TO FE,W/ ARA & DHA",64,1.38,7.18,7.18,51,71,18,1.453,1.255,0.67,1
255,"INF FORMULA, ME JOHN, ENFA, LACF LIP, W/IRO, POW, W/AR AN DH",521,10.9,56.3,54.77,430,570,156,11.9,10.4,5.5,7
256,"INF FORMU, ME JOH, ENF, LAC, LI, W/ IR,LI CO,N RE,W/ AR & DH",132,2.68,14.42,13.96,104,140,38,3.059,2.642,1.411,2
257,"INF FORMULA,MEAD JOHNSON,ENFAMIL,LIPIL,RTF,W/ ARA & DHA",66,1.38,6.44,6.44,54,72,19,1.453,1.255,0.67,1
258,"INF FORMULA, ABBOTT NUTR, SIMILAC, PM 60/40, PDR NOT RECON",524,11.4,54.94,52.38,288,411,123,12.214,5.242,10.835,17
259,"INF FORMULA, ABB NUT,SIMI,NAT CA,AD,RTF,W/ ARA & DHA",78,2.12,8.2,8.2,163,101,34,2.544,0.402,0.842,2
260,"INF FORMULA, AB NUT, SIM, SP CA, ADV 24,W/ IR, RT,W/ AR & DH",71,1.8,8.73,8.3,141,101,34,2.12,0.324,0.737,2
261,"INF FORMULA, ABBOTT NUTR, SIMILAC, ALIMENTUM, W/ IRON,RTF",66,1.8,6.77,4.4,69,77,29,1.838,0.294,1.113,1
262,"INF FORMU, ME JOHNS, ENFAM, ENFA LIP, W/IRO, POW, W/AR/AN DH",514,12.5,56,51,590,565,173,11.37,10.3,5.402,16
263,"INF FORMULA, ABBOTT NUTR, SIMILAC, W/ IRON, RTF",65,1.36,6.92,6.9,51,69,16,1.237,1.314,0.801,2
264,"INF FORM, AB NUTR, SIMILAC, W/ IRON, LIQ CONC, NOT RECON",127,2.64,13.76,13.76,99,134,31,2.401,2.551,1.555,3
265,"INF FORMULA, ABBOTT NUTR, SIMILAC, W/ IRON, PDR, NOT RECON",522,10.89,54.73,54.73,410,552,126,9.873,10.491,6.396,14
266,"INF FORMULA, ABBOTT NUTR, SIMILAC, LO IRON, RTF",65,1.36,6.93,6.93,51,69,16,1.237,1.314,0.801,2
267,"INF FORMULA, ABBOTT NUTR, SIMILAC, LO IRON,LIQ CONC,NOT RECO",127,2.64,13.76,13.76,99,134,31,2.401,2.551,1.555,3
268,"INF FORMULA, ABBOTT NUTR, SIMILAC, LO IRON, PDR,NOT RECON",522,10.85,54.78,54.7,410,552,126,9.873,10.491,6.396,14
269,"INF FORMULA,NESTLE,GOOD START SOY,W/ DHA & ARA,RTF",64,1.6,7.13,5.68,67,74,26,1.4,1.189,0.695,2
270,"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF (FORMERLY ROSS)",99,2.86,11.15,10.5,93,125,36,1.256,1.936,1.068,2
271,"INF FORMULA,NESTLE,GOOD START SOY,W/ ARA & DHA,PDR",503,12.5,55.6,44.38,526,581,200,11,8.1,6,6
272,"INF FORMULA, MEAD JOHNSON, ENFAMIL, LACTOFREE, RTF",63,1.38,7.18,7.18,53,72,19,1.495,1.291,0.689,1
273,"INF FORMULA,MEAD JOHNSON,ENFAMIL,LACTOFREE,W/ IRN,PDR,NOTREC",521,10.85,57,57,430,580,156,12.02,10.43,5.26,8
274,"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",99,2.8,11.28,7.6,92,124,36,1.256,1.936,1.067,2
275,"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,RTF",65,1.7,8.54,6.19,78,88,25,1.18,0.87,0.6,1
276,"INF FORMULA, NE,GOO STAR 2 ESSENT,W/ IRON,LIQ CONC,NOT RECON",125,3.25,16.5,11.9,150,169,49,2.213,1.582,1.213,2
277,"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,PDR",471,12.2,62.23,44.3,565,636,184,8.54,6.23,4.31,6
278,"BABYFOOD,CORN & SWT POTATOES,STR",68,1.26,15.23,4,18,154,14,0.053,0.071,0.123,1
279,"INF FORM, ABBO NUTR, SIMIL, ALIMENT, ADVAN, RTF,W/ ARA & DHA",67,1.8,6.77,4.4,69,77,29,1.838,0.294,1.126,1
280,"INF FORMULA,PBM PRODUC,STO BRA,RTF (FORMERLY WYETH-AYERST)",63,1.4,6.39,6.4,41,55,14,1.6,1.4,0.5,4
281,"INF FORM,PBM PROD,STORE BRAND,LC,NOT REC (FORM WYETH-AYERST)",130,2.9,13.9,13.9,83,109,29,3.2,2.8,1,8
282,"INF FORMULA,PBM PRODUCTS,STORE BRAND,PDR",524,12,56,56,331,441,118,12.761,11.131,3.951,32
283,"INF FORMULA, MEAD JOHNS, ENFAMI, AR LIPIL, RTF,W/ ARA & DHA",68,1.71,7.53,6.44,53,74,27,1.453,1.255,0.67,1
284,"INF FORMULA, MEA JOHNSO, ENFAMI, AR LIPIL, PDR, W/ ARA & DHA",509,12.73,56.03,56.03,397,550,204,10.942,9.292,5.124,17
285,"INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA",69,1.92,6.94,6.9,72,97,23,2.447,0.387,0.844,2
286,"INF FORMULA, ABBOTT, SIMILAC, NEOSURE, PDR, W/ ARA & DHA",520,14.42,51.75,52.02,541,731,170,9.871,10.492,6.66,14
287,"INF FORMULA, ABB NUTR, SIMI,SENS (LACT FRE) RTF,W/ ARA & DHA",68,1.48,7.4,7.4,58,74,21,2.43,0.384,0.832,2
288,"INF FORMULA, ABB NUT,SIMIL,SENS,(LACT FR),LIQ CON,W/ AR & DH",128,2.73,13.64,13.78,108,138,39,4.522,0.715,1.548,4
289,"INF FORMULA, ABB NUTR,SIMIL,SENS,(LACTO FR), PD, W/ ARA & DH",520,11.13,55.67,55.67,436,557,158,18.305,2.894,6.27,15
290,"INF FORMULA, ABBOTT NUTR, SIMILAC, ADVANCE, W/ IRON, RTF",66,1.36,6.77,6.9,53,69,16,1.237,1.314,0.801,2
291,"INF FORMULA,ABBOTT NUTR,SIMILAC,ADVANC,W/ IRON,PDR,NOT RECON",522,10.89,54.73,54.73,410,552,126,9.873,10.491,6.396,14
292,"INF FORMU,ABBO NUTR,SIMILAC,ADVAN,W/ IRON,LIQ CONC,NOT RECON",127,2.64,13.52,13.52,99,134,31,2.401,2.551,1.555,3
293,"INF FORMULA,MEAD JOHNSON,ENFAMIL,ENFACARE LIPIL,RTF, ARA&DHA",71,2,7.4,7.4,86,75,25,1.578,1.33,0.862,1
294,"BABYFOOD,YOG,WHL MILK,W/ FRUIT,MULTIG CRL & ADD DHA FORT",98,3.4,13.22,11.46,107,149,41,1.84,0.916,0.367,14
295,"INF FORM,ABBOTT,ALIMENTUM ADVANCE,IRON,PDR,NOTREC,DHA&ARA",517,13.99,51.91,34.18,534,598,224,14.282,2.276,8.877,8
296,"BABYFOOD,MSHD CHEDDAR POTATOES&BROCCOLI,TODDLER",48,1.11,7.47,1.17,20,118,176,0.875,0.37,0.092,4
297,"INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,DHA & ARA,RTF",66,1.45,7.39,5,42,71,18,1.47,1.08,0.74,4
298,"INF FORM,NESTLE,GOOD START SUPREME,IRON,DHA&ARA,PRP FR LC",66,1.45,7.39,5,42,71,18,1.47,1.08,0.74,4
299,"BABYFOOD,FORT CRL BAR,FRUIT FILLING",344,5.43,68.63,42,1053,180,157,0.453,3.107,1.541,1
300,"BABYFOOD,YOGU,WHL MILK,W/ FRUI,MULTIGRA CRL & ADD IRON FORT",92,3.05,13,11.46,98,143,38,1.582,0.74,0.405,10
301,"INF FORMULA,NESTLE,GOOD START SOY,W/ DHA & ARA,LIQ CONC",132,3.31,14.71,11.74,139,154,53,2.897,2.198,1.431,2
302,"TODDL FORM,ME JOHN,ENFA,PREM (FORME ENL,LIPIL,NEXT STEP),PDR",501,13,56,53,600,650,210,11.45,10.03,5.445,7
303,"TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF",64,1.78,7.18,7.18,133,89,25,1.55,1.38,0.73,1
304,"SALAD DRSNG,1000 ISLAND,COMM,REG",379,1.09,14.64,15.18,17,107,962,5.092,7.881,18.22,26
305,"SALAD DRSNG,MAYO TYPE,REG,W/SALT",250,0.65,14.78,10.02,5,36,653,3.396,5.053,12.187,19
306,"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",141,0.5,27.6,21.87,19,157,868,0.6,0.9,2.3,6
307,"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT",195,0.83,24.06,17.31,27,202,955,0.746,6.468,2.692,11
308,"SALAD DRSNG,MAYO,REG",680,0.96,0.57,0.57,8,20,635,11.703,16.843,44.69,42
309,"SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT",717,1.1,2.7,0.48,18,34,568,8.6,13,55,59
310,"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",389,0.9,22.4,15.18,14,35,1000,5.1,7.4,20,76
311,"SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT",292,0.38,10.43,8.32,7,48,30,4.474,6.315,12.941,67
312,"SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT",76,0.47,4.57,4.55,9,85,30,0.451,2.19,1.704,6
313,"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG",484,1.37,4.77,3.48,37,88,642,8.275,13.279,27.545,31
314,"SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE",132,0.55,29.27,16.83,11,122,788,0.198,0.342,0.63,5
315,"SALAD DRSNG,ITALIAN DRSNG,FAT-FREE",47,0.97,8.75,8.85,30,102,1129,0.295,0.235,0.192,2
316,"SALAD DRSNG,RANCH DRSNG,FAT-FREE",119,0.25,26.51,5.35,50,111,897,0.447,0.388,0.698,7
317,"SALAD DRSNG,RANCH DRSNG,REG",430,1.32,5.9,4.69,28,64,901,6.964,9.202,25.796,26
318,"SALAD DRSNG,RANCH DRSNG,RED FAT",196,1.25,21.33,3.77,40,132,1120,1.25,2.794,4.213,16
319,"SALAD DRSNG,MAYO,LT",238,0.37,9.23,3.56,6,31,827,3.446,5.01,12.993,16
320,"SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT",333,1.53,9.39,5.38,13,63,848,3.288,16.662,11.776,33
321,"SALAD DRSNG,HONEY MUSTARD,REG",464,0.87,23.33,15.84,12,20,512,5,11.458,22.839,29
322,"SALAD DRSNG,POPPYSEED,CREAMY",399,0.92,23.73,23.39,59,61,933,6.061,8.207,17.326,15
323,"SALAD DRSNG,CAESAR,FAT-FREE",131,1.47,30.73,8.82,33,48,1265,0.096,0.045,0.01,1
324,"DRESSING,HONEY MUSTARD,FAT-FREE",169,1.07,38.43,17.75,24,69,1004,0.349,0.708,0.287,1
325,"TURKEY,WHL,MEAT & SKN,RAW",143,21.64,0.13,0.07,11,224,112,1.461,1.826,1.466,72
326,"TURKEY,WHL,MEAT ONLY,RAW",112,22.64,0.14,0.07,11,235,118,0.459,0.477,0.411,67
327,"TURKEY,SKN FROM WHL,(LIGHT & DARK),RAW",407,12.96,0.16,0.1,13,124,62,10.43,13.908,10.922,122
328,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,RAW",161,21.96,0.15,0.06,11,223,105,1.899,2.431,1.952,67
329,"TURKEY,DK MEAT,MEAT & SKN,RAW",161,19.81,0.15,0.1,11,208,113,2.413,3.091,2.443,87
330,"TURKEY FROM WHL,LT MEAT,RAW",114,23.66,0.14,0.05,11,242,113,0.289,0.264,0.258,57
331,"Turkey from whole, dark meat, meat only, raw",108,21.28,0.15,0.1,11,226,124,0.683,0.756,0.613,79
332,"TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,RAW",114,23.66,0.14,0.05,11,242,113,0.289,0.264,0.258,57
333,"TURKEY,WING,FROM WHL BIRD,MEAT ONLY,RAW",114,23.66,0.14,0.05,11,242,113,0.289,0.264,0.258,57
334,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV",211,19.67,3.34,2.04,28,190,615,3.321,5.766,2.359,126
335,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)",248,25.34,3.84,2.1,38,254,837,3.655,6.297,2.599,156
336,"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)",242,22.24,3.36,1.94,28,218,559,3.966,6.737,2.838,136
337,"CHICKEN BREAST TENDERS,BREADED,UNCKD",263,14.73,15.01,0.37,19,214,536,3.26,6.48,3.34,41
338,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ BROTH",133,22.41,0.23,0.03,10,168,256,1.293,1.691,1.075,67
339,"CHICKEN,BROILER,ROTISSERIE,BBQ,WING,MEAT ONLY",184,28.34,0.54,0.53,32,322,725,2.134,3.61,1.266,134
340,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,ROTISSERIE,ORIGINAL",406,17.66,0.11,0.11,25,245,381,9.994,16.793,5.423,141
341,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR",260,23.23,0.03,0.03,35,291,584,4.924,8.162,2.723,128
342,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT & SKN,CKD,ROTISSERIE,",184,27.48,0.02,0.02,15,289,347,2.114,3.548,1.166,96
343,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE",215,26.86,0.02,0.02,21,291,411,3.02,5.22,1.785,156
344,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O",233,22.93,0.02,0.02,15,260,345,4.123,6.979,2.334,132
345,"CHICKEN,BROILERS OR FRYERS,WING,MEAT & SKN,CKD,ROTISSERIE,OR",266,24.34,0.04,0.04,29,296,610,4.814,8.109,2.69,140
346,"CHICKEN,BROILER,ROTISSERIE,BBQ,SKIN",378,15.19,0.7,0.7,34,223,335,9.333,14.464,4.018,120
347,"CHICKEN,BROILER,ROTISSERIE,BBQ,BACK MEAT & SKN",251,20.29,0.4,0.4,33,254,509,4.953,7.895,2.507,118
348,"CHICKEN,BROILER,ROTISSERIE,BBQ,BREAST MEAT & SKN",175,26.37,0.09,0.09,16,276,329,1.958,3.131,0.945,90
349,"CHICKEN,BROILER,ROTISSERIE,BBQ,DRUMSTK MEAT & SKN",206,25.65,0.12,0.12,22,279,392,2.855,4.75,1.523,149
350,"CHICKEN,BROILER,ROTISSERIE,BBQ,THIGH MEAT & SKN",226,22.51,0.12,0.12,16,255,335,3.927,6.446,2.038,127
351,"CHICKEN,BROILER,ROTISSERIE,BBQ,WING MEAT & SKN",257,23.42,0.6,0.6,33,285,579,4.627,7.332,2.177,129
352,"USDA COMMODITY,TURKEY HAM,DK MEAT,SMOKED,FRZ",118,16.3,3.1,1.2,7,253,909,1.2,1.337,0.873,64
353,"CHICKEN,BROILER,ROTISSERIE,BBQ,BACK MEAT ONLY",212,21.85,0.31,0.31,33,263,563,3.613,5.885,2.044,117
354,"TURKEY,DK MEAT FROM WHL,MEAT ONLY,W/ ADDED SOLN,RAW",115,19.27,0.1,0.1,15,226,167,1.124,1.244,1.009,79
355,"TURKEY,SKN FROM WHL (LIGHT & DARK),W/ ADDED SOLN,RAW",381,12.29,0.21,0.1,13,107,138,10.43,13.908,10.86,94
356,"TURKEY,DK MEAT FROM WHL,MEAT & SKN,W/ ADDED SOLN,RAW",169,17.84,0.15,0.1,14,202,161,2.6,4.4,3.81,82
357,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,W/ ADDED SOLN,RAW",147,20.02,0.14,0.06,14,220,195,1.35,3.2,2.6,60
358,"TURKEY,WHL,MEAT ONLY,W/ ADDED SOLN,RAW",105,20.87,0.14,0.06,14,237,194,0.535,0.736,0.63,61
359,"TURKEY,WHL,MEAT & SKN,W/ ADDED SOLN,RAW",158,19.03,0.15,0.08,14,211,180,1.7,3.9,3.5,70
360,"TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",115,19.27,0.15,0.1,15,226,167,1.124,1.244,1.009,79
361,"TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",102,21.54,0.14,0.05,14,242,206,0.536,0.491,0.479,54
362,"TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",115,19.27,0.15,0.1,15,226,167,1.124,1.244,1.009,79
363,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",115,19.27,0.15,0.1,15,226,167,1.124,1.244,1.009,79
364,"TURKEY,RTL PARTS,BREAST,MEAT & SKN,W/ ADDED SOLN,RAW",144,20.79,0.03,0.01,9,221,126,1.24,3.04,2.47,64
365,"TURKEY,WING,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",102,21.54,0.14,0.05,14,242,206,0.536,0.491,0.479,54
366,"TURKEY,RTL PARTS,WING,MEAT & SKN,RAW",202,19.53,0.05,0.03,8,192,67,3.549,4.641,3.712,84
367,"TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RAW",109,23.66,0.14,0.05,11,242,113,0.289,0.264,0.258,57
368,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RAW",108,21.28,0.15,0.1,11,226,124,0.683,0.756,0.613,79
369,"TURKEY,BACK,FROM WHL BIRD,MEAT & SKN,W/ ADDED SOLN,RAW",206,16.86,0.15,0.1,14,185,157,2.73,7.11,5.57,84
370,"SOUP,CRM OF ASPARAGUS,CND,COND",69,1.82,8.52,0.72,23,138,669,0.82,0.75,1.46,4
371,"SOUP,BEAN W/ PORK,CND,COND",129,5.88,16.97,3,60,375,672,1.14,1.62,1.36,2
372,"SOUP,BF NOODLE,CND,COND",67,3.85,7.16,2.06,12,79,653,0.91,0.99,0.39,4
373,"SOUP,CRM OF CELERY,CND,COND",72,1.32,7.03,1.35,32,98,516,1.12,1.03,2,11
374,"SOUP,CHS,CND,COND",82,0.8,11.3,3.73,36,37,692,2.45,1.082,0.114,3
375,"SOUP,CHICK BROTH,CND,COND",31,4.42,0.75,0.35,6,170,621,0.31,0.47,0.22,1
376,"SOUP,CHICK,CND,CHUNKY,RTS",71,5.06,6.88,0.87,10,70,354,0.79,1.18,0.55,12
377,"SOUP,CRM OF CHICK,CND,COND",90,2.38,7.16,0.54,14,49,702,1.697,2.056,1.063,8
378,"SOUP,CHICK GUMBO,CND,COND",45,2.1,6.67,1.93,19,60,693,0.26,0.52,0.28,3
379,"SOUP,CHUNKY CHICK NOODLE,CND,RTS",41,3.09,4.46,0.38,11,117,306,0.627,0.298,0.172,5
380,"SOUP,CHICK RICE,CND,CHUNKY,RTS",53,5.11,5.41,0.6,14,45,370,0.4,0.6,0.28,5
381,"SOUP,CHICK W/ RICE,CND,COND",68,1.84,11.57,0.23,41,34,645,0.37,0.74,0.34,4
382,"SOUP,CHICK & VEG,CND,RTS",33,1.97,4.68,1.01,14,133,229,0.121,0.158,0.134,3
383,"SOUP,CHICK VEG,CND,COND",61,2.94,7.01,1.26,14,126,706,0.69,1.04,0.49,7
384,"SOUP,CHILI BF,CND,COND",117,5.09,18.86,5.09,33,400,788,1.242,1.013,0.095,10
385,"SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS",56,3.02,7.84,1.67,28,160,417,0.88,0.41,0.05,6
386,"SOUP,CLAM CHOWDER,MANHATTAN,CND,COND",61,1.74,9.74,2.7,19,150,698,0.305,0.305,1.027,2
387,"CAMPBELL'S,CHEDDAR CHS SOUP,COND",84,0.8,11.44,3.73,36,37,692,1.13,0.68,1.69,3
388,"SOUP,MINESTRONE,CND,CHUNKY,RTS",53,2.13,8.64,2.17,25,255,288,0.62,0.38,0.11,2
389,"SOUP,MINESTRONE,CND,COND",68,3.48,9.17,1.5,28,255,516,0.44,0.56,0.91,1
390,"SOUP,MUSHROOM W/ BF STOCK,CND,COND",68,2.51,7.41,2.28,8,126,773,1.24,1.12,0.62,6
391,"SOUP,CRM OF ONION,CND,COND",88,2.2,10.4,3.64,27,98,637,1.17,1.67,1.16,12
392,"SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS",77,4.62,11.17,1.91,14,127,301,0.66,0.68,0.24,3
393,"SOUP,CRM OF POTATO,CND,COND",74,1.51,12.79,1.44,17,165,604,0.97,0.44,0.33,1
394,"SOUP,TOMATO RICE,CND,COND",93,1.64,17.08,5.9,18,257,635,0.4,0.47,1.05,1
395,"SOUP,CHUNKY BF,CND,RTS",66,3.97,10.08,0.67,13,140,338,0.554,0.465,0.047,6
396,"SOUP,VEG BF,CND,COND",63,4.45,8.11,0.89,13,138,706,0.68,0.64,0.09,4
397,"SOUP,VEG W/ BF BROTH,CND,COND",66,2.42,10.7,1.64,14,157,515,0.36,0.45,0.64,1
398,"SOUP,BF BROTH OR BOUILLON,PDR,DRY",213,15.97,17.4,16.71,60,446,26000,4.32,3.616,0.332,10
399,"SOUP,BEEF BROTH,CUBED,DRY",170,17.3,16.1,14.51,60,403,24000,1.99,1.67,0.16,4
400,"SOUP,CHICK BROTH OR BOUILLON,DRY",267,16.66,18.01,17.36,187,309,23875,3.43,5.36,4.48,13
401,"SOUP,CRM OF VEG,DRY,PDR",446,8,52.1,17.51,134,408,4957,6.03,10.73,6.29,2
402,"GRAVY,BF,CND,RTS",53,3.75,4.81,0.21,6,81,560,1.153,0.962,0.08,3
403,"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND",125,6.25,19.53,3.13,47,375,672,1.172,0.781,0.391,4
404,"GRVY, CHCKN, CNND BTTLD, RTS",48,0.71,5.29,0.3,10,42,389,0.639,1.027,0.407,5
405,"GRAVY,MUSHROOM,DRY,PDR",328,10,64.66,3.26,230,262,6580,2.36,1.31,0.14,3
406,"GRAVY,PORK,DRY,PDR",367,8.78,63.57,24.73,139,235,5356,4.29,3.881,0.454,10
407,"GRAVY,TURKEY,CND,RTS",51,2.6,5.1,0.21,4,109,577,0.62,0.9,0.49,2
408,"SOUP,CHICK NOODLE,DRY,MIX",377,15.42,62.32,1.9,55,306,3643,1.969,2.268,1.398,74
409,"SOUP,CHICK MUSHROOM,CND,COND",100,1.61,11.95,0.79,23,56,669,1.246,2.125,1.226,8
410,"SAUCE,HOMEMADE,WHITE,THIN",105,3.77,7.4,4.78,126,163,328,2.152,2.67,1.586,8
411,"SAUCE,HOMEMADE,WHITE,MED",147,3.84,9.17,4.38,118,156,354,2.854,4.42,2.862,7
412,"SAUCE,HOMEMADE,WHITE,THICK",186,3.99,11.61,3.98,111,149,373,3.416,5.851,3.914,6
413,"SOUP,STOCK,CHICK,HOME-PREPARED",36,2.52,3.53,1.58,3,105,143,0.321,0.582,0.213,3
414,"SAUCE,HOISIN,RTS",220,3.31,44.08,27.26,32,119,1615,0.568,0.963,1.698,3
415,"SOUP,CRM OF MUSHROOM,CND,COND,RED NA",52,1.21,8.1,2.13,13,374,383,0.53,0.44,0.56,3
